Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido

Restrições da consulta:
Código da Estação:17050001


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;DataLiq;HoraLiq;NumMedicaoLiq;Cota;Vazao;AreaMolhada;Largura;VelMedia;ConcentracaoMatSuspensao;CotaDeMedicao;TemperaturaDaAgua;ConcentracaoDaAmostraExtra;CondutividadeEletrica;Observacoes
17050001;1;30/06/1997;01/01/1900 07:00;6;30/06/1997;01/01/1900 07:00;6;724;"0,0";"0,0";"0,0";"0,0";"7,73";;;;;
17050001;1;13/04/1997;01/01/1900 07:00;4;13/04/1997;01/01/1900 07:00;4;716;"0,0";"0,0";"0,0";"0,0";"36,22";;;;;
17050001;1;16/10/1996;01/01/1900 12:10;1;16/10/1996;01/01/1900 12:10;1;200;;;;;"18,95";200;"30,8";;;
17050001;1;12/08/1996;01/01/1900 10:49;1;12/08/1996;01/01/1900 10:49;1;615;;;;;"53,28";615;"28,8";;;
17050001;1;04/04/1996;01/01/1900 11:08;1;04/04/1996;01/01/1900 11:08;1;669;;;;;"116,4";669;"28,3";;;
17050001;1;06/12/1995;01/01/1900 10:15;1;06/12/1995;01/01/1900 10:15;1;152;;;;;"53,84";152;"28,5";;;
17050001;1;11/06/1995;01/01/1900 10:39;1;11/06/1995;01/01/1900 10:39;1;676;;;;;"82,1";676;"25,0";;;
17050001;1;06/11/1994;01/01/1900 07:00;49;06/11/1994;01/01/1900 07:00;777;258;;;;;"61,07";;;;;
17050001;1;26/04/1994;01/01/1900 07:00;48;26/04/1994;01/01/1900 07:00;777;;;;;;"19,44";;;;;
17050001;1;17/06/1993;01/01/1900 07:00;47;17/06/1993;01/01/1900 07:00;777;;;;;;"61,77";;;;;
17050001;1;25/08/1992;01/01/1900 07:00;46;25/08/1992;01/01/1900 07:00;777;;;;;;"13,09";;;;;
17050001;1;07/03/1990;01/01/1900 07:00;45;07/03/1990;01/01/1900 07:00;777;;;;;;"165,07";;;;;
17050001;1;01/05/1989;01/01/1900 07:00;44;01/05/1989;01/01/1900 07:00;777;;;;;;"83,12";;;;;
17050001;1;18/01/1989;01/01/1900 07:00;43;18/01/1989;01/01/1900 07:00;777;;;;;;"111,62";;;;;
17050001;1;17/09/1988;01/01/1900 07:00;41;17/09/1988;01/01/1900 07:00;777;;;;;;"23,04";;;;;
17050001;1;13/05/1988;01/01/1900 07:00;40;13/05/1988;01/01/1900 07:00;777;;;;;;"95,33";;;;;
17050001;1;10/02/1988;01/01/1900 07:00;39;10/02/1988;01/01/1900 07:00;777;;;;;;"141,25";;;;;
17050001;1;16/10/1987;01/01/1900 07:00;38;16/10/1987;01/01/1900 07:00;777;;;;;;"47,31";;;;;
17050001;1;04/05/1986;01/01/1900 07:00;31;04/05/1986;01/01/1900 07:00;777;;;;;;"89,85";;;;;
17050001;1;02/07/1985;01/01/1900 07:00;28;02/07/1985;01/01/1900 07:00;777;;;;;;"56,51";;;;;
17050001;1;16/05/1985;01/01/1900 07:00;27;16/05/1985;01/01/1900 07:00;777;;;;;;"112,35";;;;;
17050001;1;13/08/1984;01/01/1900 07:00;24;13/08/1984;01/01/1900 07:00;777;593;"194392,0";;;;"26,86";;;;;
17050001;1;27/06/1984;01/01/1900 07:00;23;27/06/1984;01/01/1900 07:00;777;689;"234861,0";;;;"35,24";;;;;
17050001;1;29/12/1983;01/01/1900 07:00;22;29/12/1983;01/01/1900 07:00;777;246;"218948,0";"97290,0";"2311,0";"2,25";"105,36";;;;;
17050001;1;28/08/1983;01/01/1900 07:00;20;28/08/1983;01/01/1900 07:00;777;247;"129652,0";"97860,0";"2324,0";"1,325";"21,46";;;;;
17050001;1;15/04/1983;01/01/1900 07:00;19;15/04/1983;01/01/1900 07:00;777;534;"177448,0";"95554,0";"2374,0";"1,857";"146,4";;;;;
17050001;1;18/02/1983;01/01/1900 07:00;18;18/02/1983;01/01/1900 07:00;777;445;"183468,0";"98439,0";"2357,0";"1,864";"181,09";;;;;
17050001;1;11/12/1982;01/01/1900 07:00;17;11/12/1982;01/01/1900 07:00;777;226;"137598,0";"89152,0";"2297,0";"1,543";"179,17";;;;;
17050001;1;15/10/1982;01/01/1900 07:00;16;15/10/1982;01/01/1900 07:00;777;512;"172366,0";"93458,0";"2312,0";"1,844";"48,8";;;;;
17050001;1;11/02/1982;01/01/1900 07:00;12;11/02/1982;01/01/1900 07:00;777;515;"141816,0";"99127,0";"2369,0";"0,422";"212,06";;;;;
17050001;1;20/12/1981;01/01/1900 07:00;11;20/12/1981;01/01/1900 07:00;777;168;;"14217,0";"2370,0";;"108,56";;;;;
17050001;1;24/08/1981;01/01/1900 07:00;10;24/08/1981;01/01/1900 07:00;777;470;;"14151,0";"2359,0";;"58,43";;;;;
17050001;1;13/06/1981;01/01/1900 07:00;9;13/06/1981;01/01/1900 07:00;777;610;;"13942,0";"2324,0";;"114,89";;;;;
17050001;1;12/04/1981;01/01/1900 07:00;8;12/04/1981;01/01/1900 07:00;777;592;;"14260,0";"2377,0";;"103,03";;;;;
17050001;1;14/02/1981;01/01/1900 07:00;7;14/02/1981;01/01/1900 07:00;777;412;;"14316,0";"2386,0";;"188,0";;;;;
17050001;1;25/11/1980;01/01/1900 07:00;6;25/11/1980;01/01/1900 07:00;777;225;;"14158,0";"2360,0";;"72,3";;;;;
17050001;1;26/07/1980;01/01/1900 07:00;4;26/07/1980;01/01/1900 07:00;777;497;;"14195,0";"2366,0";;"257,0";;;;;
17050001;1;19/04/1979;01/01/1900 07:00;3;19/04/1979;01/01/1900 07:00;777;653;;"14195,0";"2366,0";;"340,19";;;;;
17050001;1;07/02/1979;01/01/1900 07:00;2;07/02/1979;01/01/1900 07:00;777;486;;"14195,0";"2366,0";;"344,58";;;;;
