,CHLOROPHYLL,CHLOROPHYLL_A,CHLOROPHYLL_B,CLOUD_COVER,DEPTH_CLASS,DOC,ID,LATITUDE,LOCATION,LONGITUDE,MISSION,N_TOTAL,N_TOTAL_DISSOLVED,POC,P_ORGANIC,P_TOTAL,SAMPLE_SITE,SAMPLING_DEPTH,SILICA,SPM,TOC,TOTAL_DEPTH,TURBIDITY,WATER_PERIOD,blue_max,blue_mean,blue_median,blue_min,blue_stdDev,count_pixel,datetime,dif_date_point,green_max,green_mean,green_median,green_min,green_stdDev,img_date,nir_max,nir_mean,nir_median,nir_min,nir_stdDev,red_max,red_mean,red_median,red_min,red_stdDev,system_index,dif_date_point_abs,satellite,duplicated
40,1.106666666666667,29.82148,"< 0,01",51.0,1,2.675,40,-2.207789,PD,-55.623565,I,0.6296,0.1255,5.638000000000001,0.0837534,0.116986,25,0.2,2.54,47.60000000000003,8.313,1.7,52.4,R,0.0237382618417726,0.0202784980499015,0.0210370286552689,0.0154934243057832,0.0027305196883518,8,2013-03-12 15:30:00,3.930637824074074,0.0277803413827002,0.0261852676841621,0.0271018318799489,0.0194123743544116,0.0027491927085438,2013-03-16T13:50:07,0.0267943393464402,0.0232668462908405,0.0234057237135375,0.022392936149081,0.0012867337808146,0.032432298816633,0.0299447131657166,0.0307462509848003,0.0231853737744808,0.0033539934373496,40_1_BOA_LE07_228061_20130316,3.930637824074074,LD7,False
42,0.64,4.77506,"< 0,01",51.0,1,2.977,43,-2.152492,PC,-55.676202,I,0.468,0.233,3.5560000000000005,0.1465375,0.155849,28,0.2,2.77,48.4,6.533,4.8,49,R,0.0282434102415608,0.0275294744755328,0.0274722569823347,0.0269820347688611,0.0003659025163082,9,2013-03-13 11:30:00,3.0973044907407408,0.0347374048974626,0.0338910046826685,0.0339621716666142,0.0330128337188972,0.0005803278744031,2013-03-16T13:50:07,0.018897199158586,0.0180317356604301,0.0178351918143626,0.0171148130513347,0.0005586634925391,0.0392557710052445,0.0387873074570812,0.0388717721154852,0.0380968672337798,0.0003335374625127,43_1_BOA_LE07_228061_20130316,3.0973044907407408,LD7,False
44,0.745,7.46594,0.7145600000000008,51.0,1,2.714,44,-2.131452,PC,-55.657457,I,0.4135,0.3159,3.325,0.099408,0.106727,29,0.2,2.79,46.4,6.039,5.1,49.025000000000006,R,0.0232120270460641,0.0226085592189863,0.0227209654830161,0.0208627174374522,0.0007221388491852,9,2013-03-13 12:00:00,3.0764711574074077,0.0296972779976552,0.0289891106477328,0.0291311449173691,0.0277273668689618,0.0006458755703812,2013-03-16T13:50:07,0.0155926914693217,0.0144130774016005,0.0146566136683107,0.0133739516798093,0.0008228872475968,0.0331945597002086,0.0324974994524057,0.0323705663486559,0.0303371494070628,0.0008189351344011,44_1_BOA_LE07_228061_20130316,3.0764711574074077,LD7,False
46,2.605,14.209,"< 0,01",51.0,1,4.305,54,-2.178437,PD,-55.633239,I,0.4136,0.2294999999999999,2.4960000000000004,0.04274,0.0466,36,0.2,2.68,49.19999999999997,6.801,5.1,49.15,R,0.0238680292609111,0.0222410376630083,0.0218954707819521,0.0213621064612286,0.0009149309763103,9,2013-03-15 13:30:00,1.0139711574074075,0.0279835985150904,0.0264833040412577,0.0263033457286544,0.0257146921251705,0.0008228887563408,2013-03-16T13:50:07,0.0188056868363273,0.0164080599957269,0.0166829869498085,0.0154258930607095,0.0010330917057072,0.0322554723364107,0.0295837226499593,0.0295388063719744,0.028450475800979,0.0011751669176496,54_1_BOA_LE07_228061_20130316,1.0139711574074075,LD7,False
48,0.5833333333333334,7.027,"< 0,01",51.0,1,3.549,60,-2.176642,GP,-55.372401,I,0.3387,0.2201,"< 0,001",0.03395,0.0361,39,0.2,2.71,38.40000000000005,2.456,5.0,42.6,R,0.011958572019223,0.0115130239854419,0.0114552589455134,0.0106848311719782,0.000384134026382,9,2013-03-16 13:00:00,0.0348044907407407,0.0167179027684057,0.0162188212047456,0.0163474937610948,0.0155383785023407,0.0003639133561002,2013-03-16T13:50:07,0.0093527666637693,0.008158790554936,0.0081711650165159,0.0072474777681626,0.0006133159407607,0.0202620665604093,0.0195333849803256,0.0194995264865399,0.0187623946002629,0.0004604044742057,60_1_BOA_LE07_228061_20130316,0.0348044907407407,LD7,False
50,0.535,5.052,"< 0,01",51.0,1,4.721,63,-2.166034,LG,-55.233215,I,0.3068,0.2965,"< 0,001",0.037110000000000004,0.0397,42,0.2,2.21,36.8,2.801,3.0,38.075,R,0.0166994544321007,0.013255745252896,0.0143040809283173,0.008881534773143,0.0020848179990005,9,2013-03-17 10:30:00,-0.8610288425925926,0.0273459161314298,0.0242523625527119,0.0259437400389083,0.0190516604223556,0.0024310548192539,2013-03-16T13:50:07,0.0220686495080468,0.0171727423746961,0.0155881989217753,0.0148880268834247,0.0020906357580102,0.0333551113388017,0.0299263451077908,0.0316374557883134,0.0235312639610134,0.0028000056601927,63_1_BOA_LE07_228061_20130316,0.8610288425925926,LD7,False
51,0.75,6.871,"< 0,01",44.0,1,4.924,64,-2.2035,LG,-55.236138,I,0.3526,0.2975,2.601,0.04221,0.0448,43,0.2,2.99,31.200000000000006,7.525,5.7,37,R,0.0131653379993966,0.0124457996043285,0.0125488481450218,0.0113305684217082,0.0005885915075072,9,2013-03-17 11:14:00,15.108364641203703,0.0279634089762839,0.0267475931069336,0.0265853104624126,0.0259620970954592,0.0006040608101286,2013-04-01T13:50:02,0.0071768398914086,0.0064208586992202,0.0063812365295144,0.0053696019192518,0.0005407776243035,0.034485058328903,0.0330913306464714,0.0331075823659662,0.0324290574240669,0.0005853961310304,64_1_BOA_LE07_228061_20130401,15.108364641203703,LD7,False
61,0.81,6.924,"< 0,01",73.0,1,4.481,68,-2.222999,LG,-55.199011,I,0.3405,0.283,"< 0,001",0.07027000000000001,0.0739,44,0.2,3.2,28.799999999999997,2.949,5.7,37.2,R,0.0194943459550003,0.0164496831690887,0.0165139187443882,0.0153875890218134,0.0011737034699724,8,2013-03-17 13:15:00,-0.975335289351852,0.0287800894913176,0.0276245885938443,0.0276400365837528,0.0270638105740305,0.0005104892936293,2013-03-16T13:50:31,0.0160324438331171,0.0148763531240453,0.0147466892950832,0.0120492006363677,0.0010610201996788,0.0357601274151217,0.0345029499699339,0.0345316812782309,0.0306690666036489,0.00156338313541,68_1_BOA_LE07_228062_20130316,0.975335289351852,LD7,False
65,0.645,6.097,"< 0,01",73.0,1,4.544,69,-2.242784,LG,-55.066126,I,0.4013,0.2747,"< 0,001",0.0445,0.0475,45,0.2,2.42,34.00000000000003,2.593,10.0,41.55,R,0.0145764490454851,0.0095540819836955,0.0100953032094852,0.0053873527763309,0.0026866873609098,9,2013-03-18 09:15:00,-1.8086686226851847,0.0239395981835013,0.0165965496853745,0.0159710238022542,0.0136194841321317,0.0034194427608033,2013-03-16T13:50:31,0.0221427283226851,0.0186304084849465,0.0169670778287032,0.0144864072138646,0.0024223513389896,0.030939238739506,0.0219537083130736,0.0210860923211547,0.0183250797434434,0.0041453839240744,69_1_BOA_LE07_228062_20130316,1.8086686226851847,LD7,False
67,,"< 0,01","< 0,01",89.0,1,3.118,70,-2.180361111111111,AM,-55.016444444444446,I,0.3603,0.3125,4.19,0.15288000000000002,0.1619,46,0.2,1.91,107.19999999999996,7.308,,,R,0.01905353047174,0.0171054407115482,0.0176404886233741,0.0141684378674994,0.0016241489105154,6,2013-03-18 09:00:00,7.197405104166666,0.0280986941619503,0.0270369911878228,0.0272306972898893,0.0237357777983548,0.0014562703578129,2013-03-25T13:44:15,0.024319839571566,0.0234281824039046,0.024066814418751,0.0202375903895371,0.0015822684096484,0.0371107499382957,0.0360831477473705,0.0362868987925922,0.0320364327336226,0.0015733094273447,70_1_BOA_LE07_227062_20130325,7.197405104166666,LD7,False
0,1.9066666666666665,9.32688,0.9149999999999994,22.92,1,3.89,71,-2.258797,PQ,-55.623565,II,0.2193,0.2243,0.14800000000000013,"< 0,01",0.0362990727954231,9,0.2,3.17,14.750000000000004,4.038,5.1,27.26666666666667,F,0.0054715050515541,0.0050266892803894,0.0049085731962756,0.0048807224941292,0.0001845926350755,9,2013-09-08 14:45:00,7.965948113425926,0.0132331368928793,0.0126666964018695,0.0126203059089618,0.0123502945967035,0.0002830551102718,2013-09-16T13:55:57,0.0042370623667681,0.0041588600808104,0.0041780760840518,0.0040311960259366,6.304684301094499e-05,0.0164868340909333,0.0153065609485267,0.0151758752314857,0.0148481622869584,0.0005038983798746,71_1_BOA_LC08_228061_20130916,7.965948113425926,LD8,True
4,2.216666666666667,44.738425,0.8987750000000037,22.92,1,4.38,73,-2.251349,PQ,-55.543966,II,0.3108,0.2989,0.2160000000000002,0.053450827896426946,0.060958768987966,7,0.2,3.21,26.99999999999997,4.596,4.2,19.3,F,0.0083232542364785,0.0053513712741965,0.0065696768640579,0.0005866971168739,0.0026908960586087,8,2013-09-09 11:15:00,7.11178144675926,0.0136946004445745,0.0117280205467721,0.0130577195658568,0.0078889202013648,0.0020442789747654,2013-09-16T13:55:57,0.0123676850425354,0.0100093956073567,0.0099031180854638,0.0089371113341305,0.0011447388027157,0.0142055799279506,0.0121445481180303,0.013450054806018,0.0081920671411424,0.0021425240574871,73_1_BOA_LC08_228061_20130916,7.11178144675926,LD8,False
6,1.923333333333333,12.12682,0.8066000000000019,22.92,1,4.119,74,-2.240289,PQ,-55.582417,II,0.2746,0.2767,0.06500000000000039,0.04762399020573551,0.0548431643322154,8,0.2,3.31,19.999999999999982,4.184,4.2,22.666666666666668,F,0.0056489537471735,0.0050953252234998,0.0052399346806903,0.0040844955831283,0.000506192468889,9,2013-09-09 10:20:00,7.149975891203704,0.0131986201667362,0.0125955457021985,0.0127471419444153,0.0120054072456682,0.0003530289804805,2013-09-16T13:55:57,0.0054457537262096,0.0046619271659597,0.004573625166564,0.0041976833280917,0.0004026469474481,0.0149694109029233,0.0143652570279512,0.0145391021975195,0.0136057946185738,0.0004633715064295,74_1_BOA_LC08_228061_20130916,7.149975891203704,LD8,True
8,2.335,157.77267999999998,0.35940000000002303,22.92,1,6.79,75,-2.251349,PQ,-55.492699,II,0.5651,0.6089,0.32899999999999974,0.022063812770996755,0.0526731110672716,11,0.2,3.3,22.000000000000004,7.119,4.3,40.35,F,0.0044703361131134,0.0024474304504854,0.0024590490974951,0.0020308207551151,0.000907766042977,9,2013-09-09 14:15:00,6.98678144675926,0.0124134441324477,0.0104892307074625,0.0103584021033834,0.0102201862948982,0.000842500028249,2013-09-16T13:55:57,0.0048455757835989,0.0039947174103943,0.004108520678459,0.0012862776617852,0.0009501502265854,0.0127951439469393,0.0107206738120597,0.0106743286721604,0.0102211322669405,0.0008910867162201,75_1_BOA_LC08_228061_20130916,6.98678144675926,LD8,False
10,1.7683333333333335,24.077300000000005,1.2062199999999983,22.92,1,4.01,76,-2.251349,PQ,-55.492699,II,0.2601,0.2496,0.3390000000000004,0.026500991486416138,0.0331426316827776,12,0.2,3.01,13.750000000000012,4.349,2.5,43.81666666666666,F,0.0044703361131134,0.0024474304504854,0.0024590490974951,0.0020308207551151,0.000907766042977,9,2013-09-09 12:45:00,7.04928144675926,0.0124134441324477,0.0104892307074625,0.0103584021033834,0.0102201862948982,0.000842500028249,2013-09-16T13:55:57,0.0048455757835989,0.0039947174103943,0.004108520678459,0.0012862776617852,0.0009501502265854,0.0127951439469393,0.0107206738120597,0.0106743286721604,0.0102211322669405,0.0008910867162201,76_1_BOA_LC08_228061_20130916,7.04928144675926,LD8,False
16,,35.18269999999999,0.909375000000005,22.92,1,3.903,79,-2.205757,LG,-55.347217,II,0.3243,0.3032,0.40600000000000014,0.03938122862054899,0.0483330045373841,5,0.2,3.3,34.8,4.309,4.6,,F,0.0116055657924318,0.0113829117149878,0.0113744090940496,0.0111521516573584,0.0001511210397019,9,2013-09-10 09:00:00,6.20553144675926,0.023812216927603,0.0235101824659357,0.0236205711914502,0.0230927087772359,0.0002584639381706,2013-09-16T13:55:57,0.0060141617572271,0.005831621457927,0.005831777809196,0.0055649289693657,0.0001443937602698,0.0213055422370913,0.0209892179674284,0.0210958754014612,0.0203210982096915,0.000333507392431,79_1_BOA_LC08_228061_20130916,6.20553144675926,LD8,True
18,1.405,39.16165,"< 0,01",22.92,1,3.032,80,-2.173257,GP,-55.372851,II,0.2384,0.2653999999999999,0.365,"< 0,01",0.0353126849477214,39,0.2,2.99,29.99999999999997,3.397,4.7,35.55,F,0.0070306102926086,0.0059772215650728,0.0053478812459124,0.0050530587699988,0.000640447144764,7,2013-09-10 11:45:00,6.090948113425926,0.018364349424542,0.0180307148958658,0.0177754957857118,0.0174740313439422,0.0002562542562474,2013-09-16T13:55:57,0.0051942429275323,0.0044907575877222,0.0041055790960671,0.0035455553708525,0.0005306548034648,0.0170471005396115,0.0166188003826624,0.0162717149118658,0.0161433392547316,0.0002784299889903,80_1_BOA_LC08_228061_20130916,6.090948113425926,LD8,True
88,1.4249999999999998,20.15526666666667,0.5840333333333353,1.0,1,3.0620000000000003,81,-2.135144,GP,-55.370602,II,0.2496,0.217,0.22099999999999964,"< 0,01",0.0392582363385283,40,0.2,3.09,38.40000000000005,3.283,4.7,43.5,F,0.0086014884635135,0.0075914250367863,0.0078005997449056,0.0071152959695628,0.0004052022371872,9,2013-09-10 14:00:00,13.992860138888888,0.0233302796092406,0.0220477259604022,0.0221547526178634,0.0214147262621559,0.000546671089736,2013-09-24T13:49:43,0.0123409538771417,0.0114664869021385,0.0116289975446451,0.0112105305826031,0.000331391947882,0.0318913845771502,0.0305865618519489,0.0307473346070512,0.0297293830531717,0.0006153381205085,81_1_BOA_LE07_228061_20130924,13.992860138888888,LD7,False
89,0.963181818181818,17.572000000000006,"< 0,01",1.0,1,2.891,82,-2.113672,GP,-55.370602,II,0.2512,0.2328,0.4730000000000003,0.04098514140438045,0.0430065101597948,41,0.2,3.03,43.99999999999999,3.364,2.6,25.731818181818177,F,0.0071984487953102,0.0046030576140202,0.0053394882472885,0.0006470318376981,0.0018982078106583,9,2013-09-10 14:40:00,13.965082361111111,0.022747074543829,0.0196086842126214,0.0204083684385879,0.0158060434243139,0.0021667420408118,2013-09-24T13:49:43,0.017129440697268,0.0147850042378702,0.0142269727636957,0.0132723770240118,0.0012703913756364,0.0326751995258421,0.0288969959308841,0.0299744654663768,0.0246238182298455,0.0024936496771474,82_1_BOA_LE07_228061_20130924,13.965082361111111,LD7,False
20,1.471111111111111,85.3848,"< 0,01",22.92,1,4.075,83,-2.115929,GP,-55.447053,II,0.4322,0.3875,0.2160000000000002,0.03429211675300148,0.0568159400276188,47,0.2,2.45,29.200000000000003,4.291,4.2,40.077777777777776,F,0.010554799647943,0.0091653467503273,0.0097612757038206,0.0079336033560965,0.0009469351692075,9,2013-09-10 17:15:00,5.86178144675926,0.0227744296467648,0.0192882871388019,0.0196786396768943,0.0167822647981354,0.0016943944111956,2013-09-16T13:55:57,0.0049668210394819,0.0040545143447286,0.004530357483004,0.0034449908474451,0.0005703293531099,0.0194459960700663,0.016335859689123,0.0170721750366752,0.0142042816056384,0.0015706104910804,83_1_BOA_LC08_228061_20130916,5.86178144675926,LD8,True
21,1.72,43.31135555555555,"< 0,01",22.92,1,4.627,86,-2.170323,GP,-55.493823,II,0.3353,0.3041,0.391,0.037088183073584524,0.0370881830735845,14,0.2,3.31,35.66666666666667,5.018,3.3,30.299999999999997,F,0.010549342496601,0.0102057780742704,0.0101656907636856,0.0099209419696596,0.000182328828786,9,2013-09-11 18:00:00,4.83053144675926,0.0226253670085165,0.0222993476604124,0.0222795945682848,0.022082010257728,0.000173609957215,2013-09-16T13:55:57,0.004739096953998,0.0045018400295766,0.0044557690262628,0.0043275702262568,0.0001447115737841,0.0218962032010927,0.021700773457843,0.0217501279480885,0.0213679562662674,0.0001734624683344,86_1_BOA_LC08_228061_20130916,4.83053144675926,LD8,False
23,1.14,62.85435,"< 0,01",22.92,1,4.913,87,-2.133265,GP,-55.488798,II,0.2753,0.317,0.009999999999999787,0.04734661668968238,0.0473466166896823,15,0.2,3.27,26.99999999999999,4.923,2.6,30.5,F,0.0141714291801504,0.0134422497078685,0.0133891256570102,0.0129334096500957,0.0003953749606981,9,2013-09-11 15:00:00,4.95553144675926,0.0270386235371937,0.0264827240108857,0.0263902028446755,0.0259678704671337,0.0002735221229007,2013-09-16T13:55:57,0.0068102257068906,0.0060513324009121,0.006070292324437,0.0053598686916847,0.0003833973778594,0.0268146220998563,0.0255032652880248,0.025436694676259,0.0247486056031237,0.0007522660352567,87_1_BOA_LC08_228061_20130916,4.95553144675926,LD8,False
95,1.3924999999999998,18.88723333333333,"< 0,01",1.0,1,3.847,88,-2.070564,SN,-55.486853,II,0.2503,0.2128999999999999,0.22099999999999964,0.037337072967122444,0.0633260998224501,16,0.2,3.19,40.00000000000004,4.068,4.3,92.2375,F,0.0046688600189281,0.0040710485325234,0.0042159510470954,0.0036128262142721,0.0002893150616131,9,2013-09-11 10:00:00,13.159526805555556,0.0180753263298633,0.0166641422195158,0.0169322644924258,0.0157067965811617,0.0007471172093238,2013-09-24T13:49:43,0.0078350581517861,0.0060426351897786,0.0061298362163149,0.0051378081348046,0.0007432345971798,0.0268267329796617,0.0259047510509248,0.0257847283789625,0.0254340026238194,0.0004303796743494,88_1_BOA_LE07_228061_20130924,13.159526805555556,LD7,False
96,1.545,26.173533333333335,8.715333333333335,1.0,1,3.887,89,-2.037612,SN,-55.486403,II,0.2935,0.2751,0.1759999999999997,0.051378074685995125,0.0747681988557901,17,0.2,3.53,70.5,4.063,2.5,73.6,F,0.0061798704330771,0.0036095610966611,0.0045340034621139,-0.0135020127547125,0.0057809457473113,9,2013-09-11 08:30:00,13.222026805555556,0.0204393823700908,0.0187121742382128,0.0192518689834254,0.0012301543388602,0.0058861255499645,2013-09-24T13:49:43,0.0147818512155759,0.0119114960682905,0.0113796161083138,0.0099626342975501,0.0014151376308944,0.0321626007717792,0.0307612254911197,0.0317218781163808,0.013257917258937,0.0058499905196518,89_1_BOA_LE07_228061_20130924,13.222026805555556,LD7,False
97,1.43,41.450433333333336,"< 0,01",1.0,1,4.788,92,-2.078954,SN,-55.526778,II,0.4616,0.3773,0.806,0.05750518672524191,0.0933122903925823,18,0.2,3.61,73.99999999999996,5.594,4.1,86.6,F,0.0096092048170023,0.0085324007644791,0.0085784548555338,0.0079585540247579,0.0004642445810438,9,2013-09-11 11:10:00,13.110915694444444,0.0228927234772485,0.0222751825181445,0.0222362461966215,0.0217926924439674,0.0003644830576977,2013-09-24T13:49:43,0.0184176607347178,0.0178184465418668,0.0177975260918279,0.0172114758469129,0.0003674868687496,0.0337244114865444,0.0329612671020252,0.0330815290540623,0.0320639806754708,0.0005156018919626,92_1_BOA_LE07_228061_20130924,13.110915694444444,LD7,False
98,1.34,62.903999999999996,"< 0,01",1.0,1,5.195,93,-2.095675,SN,-55.488855,II,0.424,0.3586,0.7709999999999999,0.07792475390292565,0.0978496744920102,19,0.2,3.7,64.99999999999999,5.966,3.8,74.65,F,0.0084572279812033,0.007609791829444,0.0076100650930547,0.0068932461642812,0.0005134465927945,9,2013-09-11 13:30:00,13.013693472222222,0.022724881688707,0.0224480993963475,0.0225364096303485,0.0218415987610318,0.0003095857277875,2013-09-24T13:49:43,0.0172377504405099,0.0160974873856249,0.0162406492591824,0.0149851482247359,0.0006517230650455,0.0321619262690681,0.031203446916155,0.0310638941102471,0.0304363074873959,0.0006266013068598,93_1_BOA_LE07_228061_20130924,13.013693472222222,LD7,False
